title,salary,experience,common_employment,works_schedule,working_hours,work_formats,description,date,url,response_link
Разработчик C в команду PMC,не указано,3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,не указано,"Компания UserGate - аккредитованный российский разработчик программного обеспечения и микроэлектроники в области сетевой информационной безопасности. В UserGate вы сможете стать частью команды, которая занимается разработкой передовых средств защиты информации, а также исследованием современных киберугроз.
Офисы компании находятся в Новосибирске, Москве, Санкт-Петербурге, Хабаровске, Минске и Томске.
Мы предлагаем:
интересную работу, где вы всегда будете решать непростые задачи;
поддерживающее профессиональное окружение – работа в команде с лучшими специалистами в своей сфере;
непрерывное развитие и обучение – постоянно выпускаем новые версии и решения UserGate.
Обязанности:
поддержка MC, SNMP в PMC;
поддержка в оборудовании SCP протокола;
реализация CLI для PMC;
разработка и поддержка уведомлений по статусам оборудования.
Требования:
C/C++ - опыт разработки под МК;
опыт разработки многопоточных приложений, опыт разработки клиент-серверных приложений;
опыт разработки под RTOS, понимание принципов организации;
опыт работы с последовательными интерфейсами: I2C, SPI, UART, USB;
Python – на уровне написания скриптов автоматизаций
TCP/IP – знание стека сетевых технологий, понимание принципов работы сетей
Наши условия:
работа в растущей команде, с людьми, знающими и любящими свое дело;
трудоустройство по ТК РФ с испытательным сроком 3 месяца;
достойная оплата труда (обсуждаем на собеседовании);
гибкий график работы – смещенное начало и окончание рабочего дня, возможность оперативно брать дни отпуска, а также брать в течение года 3 дня больничных без больничного листа с полной оплатой (в первый год 1 день);
пакет льгот – расширенная программа ДМС со стоматологией, стационаром и помощью на дому, страхование родственников, компенсация оплаты фитнеса, парковки, корпоративный транспорт в Новосибирске, подарки к мероприятиям;
комфортный, современный офис с полноценной кухней, фруктами и плюшками;
душевные корпоративы – дважды в год мы собираем сотрудников всех офисов, чтобы обсудить важные рабочие моменты, поделиться новостями, а также приятно провести время и повеселиться.",2025-04-14,https://novosibirsk.hh.ru/vacancy/107733321?query=Python+%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,https://novosibirsk.hh.ru/applicant/vacancy_response?vacancyId=107733321&employerId=113649&hhtmFrom=vacancy
Senior С++ Developer,не указано,более 6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: удалённо,"Мы ищем опытного С++ разработчика в команду разработки нового инновационного продукта компании. Это low-code конструктор для автоматизированного проектирования распределенных и отказоустойчивых систем управления бизнес-процессами, основанный на акторной модели взаимодействия, с поддержкой автоматического восстановления после сбоев. Ядро продукта разрабатывалось около двух лет – сейчас подходим к релизу MVP и планируем расширять функциональность. Продуктом будут пользоваться клиенты и наши коллеги из компании FIS.
Наша компания занимается разработкой и внедрением решений на международных банковских и финансовых рынках. Наши основные клиенты – банки ТОП-100 РФ. Кроме ФинТеха разрабатываем решения для автоматизации крупных корпораций и госструктур.
FIS является аккредитованной IT-компанией, резидентом инновационного центра «Сколково», резидентом новосибирского Академпарка и входит в рейтинг ТОП-5 компаний, внедряющих продукты с использованием BPM систем.
Чем предстоит заниматься:
В команде разработки своего языка программирования со статической типизацией и своим распределенным рантаймом:
- Разрабатывать транслятор в C++, рантайм исполнения языка;
- Разрабатывать библиотеки, систему сборки и репозитория пакетов;
- Анализировать и писать спецификации и требования языка;
- Писать приемочные тесты транслятора на Python с генерацией кода на своем языке программирования. (Степень вовлеченности в это - произвольная);
- Разрабатывать многопоточный Language Server;
- Профилировать и оптимизировать код.
Наш технологический стек:
• Основной язык разработки – C++17;
• Python для автоматизации тестирования и отладочных компонент;
• Jira для планирования задач;
• Gerrit для Code Review.
Наши принципы разработки:
• Раннее обнаружение проблем. Ключевой принцип, направленный на сокращение издержек в дальнейшем;
• Поощрение каждому привносить идеи. Инновационный продукт требует участия всей команды;
• Поощрение горизонтальных связей в процессе принятия решений. Это позволяет передавать важную техническую информацию в неизменном виде;
• Строгий процесс приемки. Технические решения оцениваются на предмет всех возможных недостатков на всех уровнях интереса.
• Инвестиции в тестируемость. Прямое следствие принципа «Раннее обнаружение проблем». Приемочное тестирование является ключевым моментом разработки функциональности.
Что мы ожидаем от вас:
• Уверенное владение С++/14-17, boost (5+ лет опыта) и готовность на нём разрабатывать;
• Умение самостоятельно проектировать решения на C++;
• Знание основных структур данных и алгоритмов;
• Опыт использования шаблонов С++ и понимание их работы;
• Понимание многопоточного и асинхронного программирования;
• Опыт отладки, профилирования и оптимизации кода;
• Хорошее знание английского языка, достаточное для чтения технической документации, проектирования и документирования собственных разработок.
Будет плюсом:
• Опыт разработки компилятора, интерпретатора или language server;
• Опыт проведения code review в роли ревьювера;
• Практический опыт в написании распределенных программ;
• Умение писать unit-тесты, понимание подходов к тестированию собственного кода;
• Уверенное знание Linux и опыт разработки под эту ОС;
• Знание Docker.
Предлагаем:
• Официальное трудоустройство в аккредитованную IT-компанию;
• Удаленную работу и/или работу в комфортном, современном офисе в Новосибирске;
• Компенсацию обучения (тренингов, семинаров, английского языка и т.д.), медицинских услуг (только в г. Новосибирск);
• Регулярное Performance Review, отслеживаем профессиональный рост и пересматриваем зарплаты, ориентируясь на рынок и индивидуальный прогресс.
Если вы готовы принять вызов и стать частью нашей команды, оставьте свой отклик прямо сейчас! Мы гарантируем интересную и перспективную работу, а также возможность реализовать свой потенциал в полной мере.
До встречи в FIS!",2025-04-14,https://novosibirsk.hh.ru/vacancy/119462974?query=Python+%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,https://novosibirsk.hh.ru/applicant/vacancy_response?vacancyId=119462974&employerId=50071&hhtmFrom=vacancy
Системный программист ядра (Linux-like),не указано,3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,не указано,"Компания UserGate - аккредитованный российский разработчик программного обеспечения и микроэлектроники в области сетевой информационной безопасности. В UserGate вы сможете стать частью команды, которая занимается разработкой передовых средств защиты информации, а также исследованием современных киберугроз.
Офисы компании находятся в Новосибирске, Москве, Санкт-Петербурге и Хабаровске.
Мы предлагаем:
интересную работу, где вы всегда будете решать непростые задачи;
поддерживающее профессиональное окружение – работа в команде с лучшими специалистами в своей сфере;
непрерывное развитие и обучение – постоянно выпускаем новые версии и решения UserGate.
Обязанности:
разработка ядра операционной системы (Linux-like), системного ПО для систем сетевой безопасности;
исследование и выбор технологий, отладка и поддержка существующего кода;
разработка и поддержка тестовых стендов.
Требования:
опыт разработки на C от 3 лет;
умение тестировать код, опыт написания автоматических тестов;
знание сетевых технологий и протоколов, понимание принципов конфигурирования локальных сетей (TCP/IP, маршрутизация, proxy, firewall);
навыки программирования на скриптовых языках (Python, perl, bash и т.п.);
английский язык: чтение технической документации.
Желательно:
опыт модификации ядра Linux;
опыт работы с одной из платформ ARM, MIPS;
опыт reverse engineering;
опыт разработки на С++;
опыт написания модулей ядра ОС Linux;
знакомство с хардварными отладчиками типа JTAG.
Наши условия:
работа в растущей команде, с людьми, знающими и любящими свое дело;
трудоустройство по ТК РФ с испытательным сроком 3 месяца;
достойная оплата труда (обсуждаем на собеседовании);
гибкий график работы – смещенное начало и окончание рабочего дня, возможность оперативно брать дни отпуска, а также брать в течение года 3 дня больничных без больничного листа с полной оплатой (в первый год 1 день);
пакет льгот – расширенная программа ДМС со стоматологией, стационаром и помощью на дому, страхование родственников, компенсация оплаты фитнеса, парковки, корпоративный транспорт в Новосибирске, подарки к мероприятиям;
комфортный, современный офис с полноценной кухней, фруктами и плюшками;
душевные корпоративы – дважды в год мы собираем сотрудников всех офисов, чтобы обсудить важные рабочие моменты, поделиться новостями, а также приятно провести время и повеселиться.",2025-04-14,https://novosibirsk.hh.ru/vacancy/88127758?query=Python+%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,https://novosibirsk.hh.ru/applicant/vacancy_response?vacancyId=88127758&employerId=113649&hhtmFrom=vacancy
Инженер-разработчик С++ в Телеметрию,не указано,3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,не указано,"UserGate решает задачи сетевой информационной безопасности Мы придумываем и выпускаем уникальные технологии, которые закрывают задачи безопасного доступа в интернет, гарантируют защиту локальной сети от внешних и внутренних угроз, реализуют гибкое управление пользователями в сети. Безопасность требует постоянного развития в подходах ее обеспечения, поэтому мы постоянно ищем в компанию инженеров, которым будет интересно вместе с нами менять ИнфоБез.
Офисы компании находятся в Новосибирске, Москве, Санкт-Петербурге и Хабаровске.
Тебе предстоит заниматься разработкой системы написанием сервиса по сбору и отправке данных о работе продуктов компании (телеметрия, данные об использовании продуктов).
Дополнительно:

- оптимизировать высоконагруженный сервис по приему и обработке данных от клиентских приложений;
- работать с REST-API, базами данных (ORM) Mongo, PG, ClickHouse;
- обеспечивать отказоустойчивость системы (на уровне сервисов).
Требования:
Опыт программирования на С/С++11 и выше 3-5 лет.
Знание основных структур данных и алгоритмов.
Понимание архитектуры Linux систем и работы сетевой подсистемы.
Опыт работы c библиотеками STL, Boost.
Опыт разработки RPC сервисов (XML-RPC/REST/gRPC).
Опыт разработки многопоточных асинхронных приложений.
Будет плюсом:
опыт программирования на скриптовых языках – Python, Bash;
опыт работы с ORM системами;
опыт разработки высоконагруженных сервисов.
Что предлагаем:
работа в растущей команде, с людьми, знающими и любящими свое дело;
трудоустройство по ТК РФ с испытательным сроком 3 месяца;
достойная оплата труда (обсуждаем на собеседовании);
гибкий график работы – смещенное начало и окончание рабочего дня, возможность оперативно брать дни отпуска, а также брать в течение года 3 дня больничных без больничного листа с полной оплатой (в первый год 1 день);
пакет льгот – расширенная программа ДМС со стоматологией, стационаром и помощью на дому, страхование родственников, компенсация оплаты фитнеса, парковки, корпоративный транспорт в Новосибирске, подарки к мероприятиям;
комфортный, современный офис с полноценной кухней, фруктами и плюшками;
душевные корпоративы – дважды в год мы собираем сотрудников всех офисов, чтобы обсудить важные рабочие моменты, поделиться новостями, а также приятно провести время и повеселиться.",2025-04-14,https://novosibirsk.hh.ru/vacancy/101116131?query=Python+%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,https://novosibirsk.hh.ru/applicant/vacancy_response?vacancyId=101116131&employerId=113649&hhtmFrom=vacancy
Стажер-разработчик бэкенда,не указано,не требуется,"Частичная занятость
Стажировка",График: 5/2,Рабочие часы: 8,Формат работы: гибрид,"Оплачиваемая стажировка в сервисах и продуктах Яндекса.
Приходите к нам, если вам интересно заниматься решениями для масштабных проектов. Вас ждёт работа с высоконагруженными отказоустойчивыми системами и действительно интересные инженерные задачи.
Примеры задач, которые решают стажёры:
Строят инфраструктуру, которая позволяет Кинопоиску, Музыке и Телемосту решать задачи по обработке контента
Разрабатывают сервис для автономного такси и роботов‑доставщиков
Создают фичи для Яндекс Go и международных проектов Такси
Что нужно уметь:
— Разбираться в алгоритмах и классических структурах данных
— Писать код на одном из языков программирования (Python, C++, Go, Java, Kotlin, Scala)
Будет плюсом:
— Если вы участвовали в учебных или реальных проектах, хакатонах и олимпиадах по программированию и математике",2025-04-10,https://novosibirsk.hh.ru/vacancy/119384427?query=Python+%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,https://novosibirsk.hh.ru/applicant/vacancy_response?vacancyId=119384427&employerId=1740&hhtmFrom=vacancy
Разработчик Oracle (PL/SQL),не указано,1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,не указано,"Мы – СОВКОМБАНК ТЕХНОЛОГИИ
Аккредитованная IT-компания финансовой Группы «Совкомбанк», топ-3 работодателей по версии Хабр Карьера.
В данный момент мы в поисках разработчика Oracle в подразделение развития системы RBS.
RBS - это высоконагруженная автоматизированная банковская система для обслуживания физических лиц ПАО ""Совкомбанк"".
Каждый день десятки миллионов наших клиентов совершают миллионы транзакций и перечислений по своим картам и счетам, пользуются всем спектром возможных банковских услуг, получают мгновенную информацию по любому из своих продуктов и все это совершается с самым высоким уровнем стабильности и доступности благодаря высококлассной команде профессионалов, непрерывно развивающей RBS, делая с каждым днем её все лучше и лучше на протяжении 15 лет.
Мы любим свою работу и ждем в своих рядах сотрудников, которые так же влюблены в разработку, как и мы, не боятся учиться и развиваться, предлагать нестандартные, прорывные решения и подходы, и каждый день становиться лучшей версией себя.
ЧЕМ ПРЕДСТОИТ ЗАНИМАТЬСЯ:
Разработка новых и доработка существующих модулей в RBS на языке PL/SQL;
Участие в проработке архитектуры проектов и задач, выработке новых технических решений;
Проведение кросс-командных и внутри-командных Code-Review;
Поиск и исправление ошибок, работа над отказоустойчивостью системы и отдельных её модулей;
Возможность участия (при наличии опыта) в интеграционных задачах, задачах автоматизации на стеке языков программирования Java, Python;
Совместная работа с аналитиками и тестировщиками над продуктами в рамках своей Agile - команды развития.
ОТ КАНДИДАТА ОЖИДАЕМ:
Отличные знания PL/SQL и SQL (опыт применения от года) и желание работать и постоянно развиваться в этой области;
Знание особенностей архитектуры СУБД Oracle 12c+ (актуальная версия 19c), умение их грамотно использовать;
Опыт разработки, оптимизации сложных SQL-запросов над большими объемами данных;
Навыки командной работы и коммуникации.
БУДЕТ ВАШИМ ПРЕИМУЩЕСТВОМ:
Знание основ банковского дела и основных бизнес-процессов в нем;
Опыт использования системы контроля версий Git, опыт работы с GitLab понимание процессов CI/CD;
Опыт разработки на одном из языков программирования общего назначения (Java, Python);
Опыт работы с редакциями в Oracle (EBR) и проведения релизов без простоя системы;
Опыт работы с Grafana, Kafka, ELK;
Опыт разработки с использованием VBScript (расширение визуальных форм).
ЧТО ТЕБЯ ЖДЕТ:
Официальное оформление с первого дня – наша IT-компания аккредитована;
Развитие профессиональной экспертизы: ты сможешь обучаться и посещать конференции и митапы за счёт Банка;
Классная команда – мы за радость общения и дружбу в коллективе;
Комфортный офис – у нас уютные рабочие пространства, комнаты отдыха с настольным теннисом, кикером, плойкой и другими плюшками;
Коворкинги в Сочи и на Алтае – туда можно отправиться поработать и отдохнуть в режиме 4/3 за счёт Банка;
Более 50 социальных программ – ДМС со стоматологией и страхованием от несчастных случаев и болезней, изучение английского, софинансирование летнего, зимнего и тематического отпуска, уникальные условия по продуктам и услугам Банка;
Забота о детях: мы проводим праздники и экскурсии для детей наших сотрудников, софинансируем частный детский сад, отдых в лагере и подготовку к экзаменам;
Много спорта: у нас есть клубы и секции, можно заниматься любым спортом за счёт Банка и участвовать в корпоративных турнирах и чемпионатах. Также мы софинансируем коллегам абонементы в фитнес-клубы;
Вовлеченность, комфорт и свобода. У нас минимум бюрократии, нет дресс-кода, гибкое начало и завершение рабочего дня;
Самая яркая корпоративная культура – летние IT-фесты, путешествия по России и за её пределами!",2025-04-14,https://novosibirsk.hh.ru/vacancy/110281124?query=Python+%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,https://novosibirsk.hh.ru/applicant/vacancy_response?vacancyId=110281124&employerId=5390761&hhtmFrom=vacancy
Программист 1С (департамент программного обеспечения),не указано,1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: удалённо,"Розничная сеть ""Красное и белое"" приглашает на вакансию ""Программист 1С"" в департамент программного обеспечения.
Обязанности:
Разработка и сопровождение программного обеспечения (в основном на 1С).
Требования:
Способность самостоятельно работать - получать задание от заказчика, формулировать ТЗ, выполнять и самостоятельно сдавать работу.
Опыт самостоятельной разработки конфигураций с 0 или подсистем.
Экспертное знание компоновки данных. Наш среднестатистический отчет собирает данные с нескольких баз и из сторонних источников, как правило Clickhouse. Способность писать такие отчеты - базовая, требуется обязательно.
Знание других языков программирования, предпочтительно Python или C#. Готовность выполнять задачи не на 1С, если понадобится. Учитываем, что времени на такие задачи понадобится больше.
Приветствуется (но необязателен) опыт в BI.
Условия:
График работы: 5/2, с 9:00 до 18:00.
Удаленная работа.
Официальное трудоустройство.
Официальная заработная плата три раза в месяц на банковскую карту.
Уровень заработной платы обсуждается по результатам оценки компетенций и Ваших ожиданий. Просим указывать в резюме Ваши финансовые ожидания.",2025-04-13,https://novosibirsk.hh.ru/vacancy/114568998?query=Python+%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,https://novosibirsk.hh.ru/applicant/vacancy_response?vacancyId=114568998&employerId=1035394&hhtmFrom=vacancy
Аналитик отчетных систем DWH,не указано,1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,"Мы – СОВКОМБАНК ТЕХНОЛОГИИ
IT-компания финансовой Группы «Совкомбанк», топ-3 работодателей по версии Хабр Карьера.
У нас работает более 5000 специалистов. Мы развиваем экосистему карты рассрочки Халва, приложение Совкомбанк Инвестиции и собственные корпоративные продукты, проводим масштабные интеграции сервисов и компаний.
Присоединяйся к команде – давай вместе прокачивать финтех!
Наши продукт направлен на развитие аналитических систем банка. Реализация функционала Хранилища данных.
Стек технологий наших проектов:
Oracle DB, MS SQL, ClickHouse
Oracle BI, FineBI
YouTrack, Confluence
Oracle Data Integrator, SQL Server Integration Services, AirFlow
Python
ЧЕМ ПРЕДСТОИТ ЗАНИМАТЬСЯ:
Анализ требований от заказчика в рамках задач по построению отчетных витрин на базе Хранилища данных (ХД);
Исследование источников данных, анализ данных в ХД;
Анализ и проектирование элементов архитектуры решения и интеграционных потоков;
Визуализация данных с использованием BI систем;
Подготовка технической документации на разработку для разработчиков ХД и в команду сопровождения;
Контроль реализации задач: тестирование и приемка;
Ведение проектной документации;
Аналитическое сопровождение действующих проектов;
Подготовка информации по запросу бизнес-подразделений группы компаний Совкомбанк.
ОТ КАНДИДАТА ОЖИДАЕМ:
Базовые знания теории в области ХД;
Хорошие знания SQL, PL/SQL (чтение и написание запросов любой сложности; понимание и умение пользоваться DML/DDL конструкциями; знание аналитических (оконных) функций; понимание определения, назначения и применения индексов и партиций; чтение кода пакетов);
Опыт в доработках хранилищ данных: исследование данных систем-источников, описание преобразований данных (ETL), проектирование витрин;
Опыт проектирования реляционной модели данных;
Опыт сбора требований и постановки задач разработчикам;
Опыт составления проектной документации;
Аналитический склад ума.
БУДЕТ ВАШИМ ПРЕИМУЩЕСТВОМ:
Работа в банковской сфере, финансовом секторе, страховом бизнесе;
Участие в проектах развития ХД;
Работа с BI инструментами;
Участие в проектах развития отчетных модулей систем;
Участие в проектах с использованием методологий гибкой разработки;
Опыт прикладного программирования.
МЫ ЦЕНИМ:
Самостоятельность, но в тоже время работу с командой и на команду;
Умение общаться с разными заказчиками, находить оптимальные и красивые решения;
Умение довести задачу до конца;
Стремление получить новые знания и делиться ими со всей командой.
ЧТО ТЕБЯ ЖДЕТ:
Официальное оформление с первого дня – наша IT-компания аккредитована;
Развитие профессиональной экспертизы: ты сможешь обучаться и посещать конференции и митапы за счёт Банка;
Классная команда – мы за радость общения и дружбу в коллективе;
Комфортный офис – у нас уютные рабочие пространства, комнаты отдыха с настольным теннисом, кикером, плойкой и другими плюшками;
Коворкинги в Сочи и на Алтае – туда можно отправиться поработать и отдохнуть в режиме 4/3 за счёт Банка;
Более 50 социальных программ – ДМС со стоматологией и страхованием от несчастных случаев и болезней, изучение английского, софинансирование летнего, зимнего и тематического отпуска, уникальные условия по продуктам и услугам Банка;
Забота о детях: мы проводим праздники и экскурсии для детей наших сотрудников, софинансируем частный детский сад, отдых в лагере и подготовку к экзаменам;
Много спорта: у нас есть клубы и секции, можно заниматься любым спортом за счёт Банка и участвовать в корпоративных турнирах и чемпионатах. Также мы софинансируем коллегам абонементы в фитнес-клубы;
Вовлеченность, комфорт и свобода. У нас минимум бюрократии, нет дресс-кода, гибкое начало и завершение рабочего дня;
Самая яркая корпоративная культура – летние IT-фесты, путешествия по России и за её пределами!",2025-04-13,https://novosibirsk.hh.ru/vacancy/114953545?query=Python+%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,https://novosibirsk.hh.ru/applicant/vacancy_response?vacancyId=114953545&employerId=5390761&hhtmFrom=vacancy
TeamLead группы сопровождения (международное направление),не указано,1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: удалённо,"FinTech IQ - это талантливые специалисты, работающие над разработкой сайтов, web-приложений, ПО и др. Сейчас в связи с расширением штата мы готовы принять в команду TeamLead группы сопровождения (международное направление) для решения интересных и амбициозных задач в рамках новых и текущих проектов
Чем предстоит заниматься:
Планирование работы отдела сопровождения;
Контроль сроков и качества задач;
Мониторинг и контроль работы системы: анализ ошибок и сбоев по логам, контроль доступности сервисов, проверка корректности работы функционала (регистрация клиентов, вход в ЛК, оформление займа, интеграции с платежными системами и т.д);
Решение инцидентов и работа с обращениями;
Работа с платежами: проверка и восстановление зависших платежей, корректировка данных о платежах;
Анализ и участие в разборе инцидентов, эскалация сложных проблем: подготовка диагностической информации для передачи на 3-ю линию (разработчикам) и DevOps;
Автоматизация рутины и ведение отчетности;
Оптимизация работы 1-й линии (обучение, передача информации).
Для успешной работы потребуется:
Опыт работы в технической поддержке (желательно финтех сфера), сопровождении ИТ-систем с желанием развиваться в разработке;
Понимание логики работы языков программирования (C#, php, Python, React, JS);
Опыт работы с БД (уверенное написание SQL-запросов различной сложности, анализ данных);
Навыки анализа логов и диагностики ошибок;
Умение писать скрипты для автоматизации рутинных задач (начальный уровень bash, python);
Понимание принципов работы интеграций API, веб-сервисов, микросервисной архитектуры;
Опыт работы с системами мониторинга (Grafana, Zabbix), построение дашбордов, выявление аномалий
Что мы предлагаем Вам:
Удаленный формат работы (по Новосибирскому времени +/- 1 час);
Работа в аккредитованной ИТ-компании;
Атмосфера стабильности и безопасности, так как мы работаем в полном соответствии с ТК РФ;
График работы 5/2, гибкое начало рабочего дня;
Своя корпоративная библиотека, в которой более 300 книг;
Возможность внешнего обучения за счет компании, в том числе занятия английским языком в Skyeng;
Расширенный пакет ДМС со стоматологией и вызовом врача на дом;
Активная корпора­тивная жизнь и насыщенный календарь событий: мы участвуем в спортивных забегах и марафонах, у нас есть футбольная команда и команда по настольному теннису, а так же квизы, митапы и многое другое! А йога у нас проходит прямо в офисе
Только самовыражение и свободный стиль. Никакого дресс-кода!
Для сотрудников, живущих за пределами Новосибирска, предусмотрена оплата коворкинга",2025-04-12,https://novosibirsk.hh.ru/vacancy/118950374?query=Python+%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,https://novosibirsk.hh.ru/applicant/vacancy_response?vacancyId=118950374&employerId=3882733&hhtmFrom=vacancy
C# разработчик приложения для автоматизации обработки деталей на лазерных станках,"от 100 000 до 170 000 ₽ за месяц, на руки",3–6 лет,Полная занятость,График: свободный,Рабочие часы: 8,не указано,"Компания ЛЕДАС хорошо известна на международном рынке как ведущий разработчик САПР и инженерного ПО. Мы занимаемся наукоёмким программированием, разрабатываем продвинутые алгоритмы и уникальные приложения. География наших партнёров обширна, как обширна и область наших интересов.
Нам нужен
Программист на языке C# в команду, разрабатывающую приложение, помогающее выполнять обработку деталей на лазерных станках. В приложении реализуются алгоритмы для самых разных направлений лазерной обработки: лазерная сварка, резка, 3D печать из металлического порошка, гравировка - по обычной фотографии выжигается текстура на металлической поверхности и многое другое. Пользователю достаточно загрузить 3D модель обрабатываемой детали и задать способ обработки, расчёт необходимых действий станка, создание управляющей программы и общение с контроллером станка выполняется автоматически.
Мы готовы рассмотреть кандидатов любого уровня: от студентов до самых опытных разработчиков. Неизменным и необходимым условием будет хорошая математическая подготовка.
Стек технологий проекта:
GUI, бизнес-логика: C#, WPF, MVVM, WCF;
Вычислительные алгоритмы: C#/C++;
Взаимодействие с контроллерами станков: индивидуально для каждого типа контроллеров.
Требования
Высшее техническое образование или обучение на последних курсах;
Знание C#;
Понимание и применение принципов ООП;
Хорошее знание и понимание математики: аналитической геометрии, алгоритмов на графах, численных методов, математического анализа.
Плюсом будет
Знание следующих вспомогательных и/или используемых в других наших проектах технологий:
MS Visual Studio / GCC / CMake;
SVN / Git / JIRA / Phabricator / Jenkins / TeamCity / Nunit / TestComplete / TestLink;
C / C++ / Python / JavaScript / TypeScript;
OpenGL / DirectX / WebGL / three.js;
Qt;
Опыт программирования микроконтроллеров / станков с ЧПУ / CNC.
Будет не лишним
Знание английского языка;
Опыт работы с CAD-приложениями.
Условия
Уютный и современный офис в Технопарке Новосибирского Академгородка;
Официальное трудоустройство согласно ТК РФ, белая зарплата, оплачиваемые больничные и отпуск;
Полная (предпочтительно) или частичная занятость, гибкий график, возможность частично удаленной работы;
Частичная компенсация затрат на спорт и изучение английского языка;
Кофе, чай, конфеты, бутерброды и фрукты на кухне;
Молодой дружный коллектив, играем в настольный теннис, знаем про Scrum/Agile и всё остальное, каждый пятый сотрудник - кандидат наук.",2025-04-14,https://novosibirsk.hh.ru/vacancy/118661059?query=Python+%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,https://novosibirsk.hh.ru/applicant/vacancy_response?vacancyId=118661059&employerId=2134970&hhtmFrom=vacancy
